threshold,accuracy,precision,recall,f1
0.8400000000000001,0.9518273888154998,0.0,0.0,0.0
0.85,0.9518273888154998,0.0,0.0,0.0
0.86,0.9518273888154998,0.0,0.0,0.0
0.87,0.9518273888154998,0.0,0.0,0.0
0.88,0.9518273888154998,0.0,0.0,0.0
0.89,0.9518273888154998,0.0,0.0,0.0
0.9,0.9518273888154998,0.0,0.0,0.0
0.91,0.9518273888154998,0.0,0.0,0.0
0.92,0.9518273888154998,0.0,0.0,0.0
0.93,0.9518273888154998,0.0,0.0,0.0
0.9400000000000001,0.9518273888154998,0.0,0.0,0.0
0.9500000000000001,0.9518273888154998,0.0,0.0,0.0
0.9600000000000001,0.9518273888154998,0.0,0.0,0.0
0.97,0.9518273888154998,0.0,0.0,0.0
0.98,0.9518273888154998,0.0,0.0,0.0
0.99,0.9518273888154998,0.0,0.0,0.0
